









Frequency of observations in the selected location(s).:
Number of taxa: 	452

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Harlequin Duck	0.0087719	0.0	0.0015	0.0065574	0.005	0.0044643	0.0	0.0	0.0047619	0.0036364	0.0033113	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0069444	0.0	0.0	0.0044053	0.0120846	
Surf Scoter	0.0307018	0.0087719	0.005618	0.0098361	0.005	0.0044643	0.0	0.0	0.0047619	0.0072727	0.0015	0.0015	0.0059347	0.0015	0.0032787	0.0015	0.0027701	0.0	0.0076482	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0071942	0.0015	0.0113636	0.0015	0.0275482	0.002551	0.0076336	0.0115741	0.0106383	0.0085837	0.0132159	0.0181269	
White-winged Scoter	0.0438596	0.0175439	0.011236	0.0131148	0.03	0.0223214	0.0075472	0.0245098	0.0285714	0.0109091	0.013245	0.013624	0.0118694	0.0055096	0.0032787	0.0015	0.0015	0.0015	0.0038241	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0020534	0.0	0.0	0.0015	0.0030395	0.0035971	0.003003	0.0015	0.0122249	0.0275482	0.0127551	0.0305344	0.0277778	0.0177305	0.0042918	0.0088106	0.0362538	
Black Scoter	0.0307018	0.0015	0.0015	0.0098361	0.0015	0.0044643	0.0	0.0	0.0095238	0.0072727	0.0015	0.0015	0.0	0.0015	0.0032787	0.0	0.0027701	0.0	0.0076482	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0015	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.003003	0.0015	0.00978	0.0137741	0.0076531	0.0229008	0.0138889	0.0035461	0.0042918	0.0132159	0.0090634	
Surf/Black Scoter	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0038168	0.0	0.0	0.0	0.0	0.0030211	
scoter sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	
Long-tailed Duck	0.0614035	0.0482456	0.0337079	0.0327869	0.03	0.0267857	0.0150943	0.0343137	0.0333333	0.0254545	0.0231788	0.0245232	0.0207715	0.0110193	0.0098361	0.0026525	0.0055402	0.0015	0.0038241	0.0015	0.0022371	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0035971	0.0	0.0015	0.0171149	0.0165289	0.0127551	0.0267176	0.037037	0.0177305	0.0300429	0.0352423	0.060423	
Bufflehead	0.0877193	0.1403509	0.1011236	0.0885246	0.07	0.0848214	0.0792453	0.1078431	0.1047619	0.0836364	0.0927152	0.1089918	0.1780415	0.0881543	0.1016393	0.0557029	0.033241	0.0051414	0.001912	0.0015	0.0015	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0030395	0.0	0.0	0.0265152	0.0440098	0.0909091	0.1479592	0.1450382	0.1365741	0.0886525	0.1072961	0.1453744	0.1299094	
Common Goldeneye	0.0438596	0.127193	0.0842697	0.0819672	0.055	0.0758929	0.0226415	0.0245098	0.0714286	0.0436364	0.0430464	0.0299728	0.0207715	0.0055096	0.0098361	0.0015	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0030395	0.0	0.0	0.0015	0.00978	0.030303	0.0204082	0.0267176	0.0439815	0.0283688	0.0429185	0.0572687	0.0755287	
Barrow's Goldeneye	0.004386	0.0015	0.011236	0.0015	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0023148	0.0	0.0	0.0	0.0015	
Hooded Merganser	0.0307018	0.0350877	0.0786517	0.0688525	0.045	0.0401786	0.0603774	0.0490196	0.0857143	0.0909091	0.0860927	0.1035422	0.0979228	0.046832	0.042623	0.0106101	0.0110803	0.0077121	0.0076482	0.0109649	0.0015	0.0027397	0.005291	0.0059289	0.003268	0.0034722	0.0042017	0.006993	0.003876	0.0081633	0.0015	0.0041068	0.004878	0.0103093	0.0122699	0.0091185	0.028777	0.015015	0.0189394	0.0440098	0.0716253	0.1020408	0.0877863	0.0902778	0.0602837	0.0515021	0.061674	0.0755287	
